Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Caris LeVert,24,14,14,29.7,6.9,14.6,.475,1.4,4.4,.311,5.6,10.2,.545,.522,3.1,4.4,.721,1.0,3.3,4.3,3.7,1.2,0.4,2.1,2.4,18.4
Joe Harris,27,40,40,29.4,4.9,9.6,.506,2.4,5.0,.483,2.5,4.6,.533,.632,1.2,1.4,.839,0.8,2.9,3.6,2.4,0.6,0.2,1.5,2.9,13.4
D'Angelo Russell,22,43,43,29.3,7.2,16.8,.429,2.4,6.7,.356,4.8,10.0,.477,.500,1.6,1.9,.817,0.5,3.3,3.8,6.3,1.1,0.3,2.9,1.7,18.3
Spencer Dinwiddie,25,44,4,28.5,5.5,12.0,.455,1.9,5.3,.364,3.5,6.8,.525,.534,4.1,5.1,.796,0.4,2.1,2.5,5.0,0.6,0.2,2.3,2.8,16.9
Jarrett Allen,20,42,42,26.5,4.4,7.5,.584,0.1,0.6,.160,4.3,6.9,.621,.590,2.7,3.7,.734,2.6,5.7,8.3,1.4,0.6,1.5,1.3,2.4,11.5
Allen Crabbe,26,28,15,26.1,3.0,8.9,.343,2.3,6.0,.387,0.7,2.9,.250,.474,1.1,1.4,.789,0.5,3.0,3.5,1.1,0.6,0.3,1.1,2.4,9.5
DeMarre Carroll,32,32,0,24.0,3.3,8.2,.397,1.6,4.6,.356,1.6,3.6,.448,.496,2.5,3.2,.777,0.9,3.9,4.8,1.1,0.3,0.1,1.1,1.6,10.6
Rondae Hollis-Jefferson,24,34,19,24.0,3.6,8.9,.405,0.2,1.0,.242,3.4,8.0,.424,.418,2.4,3.7,.659,1.4,4.4,5.8,1.9,0.8,0.5,1.2,2.0,9.9
Jared Dudley,33,43,25,22.0,1.8,4.4,.405,0.9,2.8,.322,0.9,1.6,.551,.508,0.5,0.8,.629,0.6,2.2,2.8,1.5,0.7,0.3,0.9,2.4,5.0
Rodions Kurucs,20,27,15,20.0,3.3,6.9,.481,0.9,2.7,.347,2.4,4.2,.566,.549,1.4,1.6,.907,0.9,2.7,3.6,0.7,0.5,0.3,1.1,2.1,9.0
Ed Davis,29,43,1,18.3,2.4,3.9,.619,0.0,0.0,.000,2.4,3.9,.627,.619,1.0,1.9,.550,3.0,5.6,8.6,0.7,0.6,0.4,0.8,2.9,5.9
Treveon Graham,25,7,1,18.1,1.0,5.0,.200,0.4,3.1,.136,0.6,1.9,.308,.243,0.3,0.3,1.000,0.9,1.3,2.1,0.9,0.4,0.4,0.7,1.6,2.7
Shabazz Napier,27,33,1,16.9,2.9,7.1,.406,1.2,3.3,.370,1.7,3.8,.437,.491,2.0,2.4,.833,0.3,1.5,1.8,2.1,0.7,0.3,1.1,1.3,8.9
Theo Pinson,23,7,0,10.3,1.0,2.9,.350,0.1,1.6,.091,0.9,1.3,.667,.375,0.6,0.6,1.000,0.1,1.3,1.4,1.7,0.1,0.0,0.6,0.7,2.7
Kenneth Faried,29,12,0,9.8,2.1,3.5,.595,0.1,0.4,.200,2.0,3.1,.649,.607,0.8,1.3,.625,1.3,2.4,3.7,0.2,0.2,0.3,0.5,0.7,5.1
Alan Williams,26,1,0,9.0,3.0,4.0,.750,0.0,0.0,,3.0,4.0,.750,.750,2.0,4.0,.500,2.0,6.0,8.0,2.0,0.0,0.0,1.0,0.0,8.0
Dzanan Musa,19,7,0,3.7,0.9,2.0,.429,0.0,0.9,.000,0.9,1.1,.750,.429,0.0,0.3,.000,0.1,0.3,0.4,0.1,0.3,0.0,0.4,0.1,1.7